AGING001,-0.45,-0.12,0.01,0.49
AGING002,1.70,1.04,1.55,0.18
AGING003,-0.43,0.31,-0.15,-0.87
AGING006,-0.90,0.80,-0.04,-0.95
AGING007,-0.72,0.68,2.24,-0.06
AGING009,1.82,1.11,0.11,1.17
AGING010,-0.53,1.81,0.02,-0.26
AGING011,-0.35,1.14,0.55,-0.70
AGING012,-0.09,0.63,-0.32,-0.69
AGING013,-0.88,0.46,0.53,0.66
AGING014,2.35,-1.49,1.11,2.85
AGING015,-1.25,0.43,0.98,-1.25
AGING017,-0.10,-1.16,-0.16,-0.91
AGING018,-0.51,0.34,-1.08,0.91
AGING020,-0.60,-0.33,0.34,1.69
AGING021,-0.19,1.55,-0.63,0.02
AGING022,-0.40,0.00,0.35,0.27
AGING023,-0.94,-1.23,-1.42,0.30
AGING024,-0.05,0.37,-0.37,-0.84
AGING025,0.02,0.44,-0.25,-0.55
AGING026,-0.22,-1.39,0.58,-0.48
AGING028,-0.33,1.41,1.48,0.45
AGING030,-0.80,-0.73,-1.70,0.99
AGING031,-0.77,0.05,-0.17,-0.22
AGING033,1.19,-0.51,-1.47,0.29
AGING038,1.50,0.43,-1.41,0.25
AGING039,0.90,-1.68,1.53,-0.88
AGING040,-0.32,1.46,0.76,0.19
AGING041,0.56,-1.23,1.84,0.62
AGING043,-0.34,-1.65,0.66,-0.07
AGING044,-0.93,1.00,-1.60,0.05
AGING045,-0.18,0.62,0.42,-0.32
AGING046,-1.18,-0.92,-0.22,0.40
AGING047,-1.00,-1.19,-0.96,1.67
AGING048,-1.12,-1.62,1.22,-0.16
AGING049,1.84,-0.89,-1.78,-2.32
AGING050,-0.48,-1.16,-0.30,-0.60
AGING054,-0.98,-0.73,-0.50,-0.39
AGING055,-0.67,0.36,-0.12,0.06
AGING060,1.67,0.50,-0.16,-1.50
AGING061,1.49,0.93,0.65,0.35
AGING062,0.84,1.03,-1.75,2.16
AGING063,1.84,-0.83,-0.34,-2.00
